RespondentID,U_Death,U_2,U_4,U_6,U_8,U_10
124,0.0,0.999892041329258,0.9999236616918304,1.0,1.0,1.0
125,0.0,1.0,1.0,1.0,1.0,1.0
126,0.0,0.19485047176256184,0.6652611233265346,0.8828144284498652,0.9834274575399357,1.0
127,0.0,0.11802424967908666,0.40295999394324616,0.5347357364914864,0.8528705213432333,1.0
128,0.0,0.19806977242655657,0.676252503314902,0.8974002031209987,0.9996755509543918,1.0
129,0.0,0.05421327848312103,0.18509571065778138,0.5010738534902232,0.6472059384916639,1.0
130,0.0,0.19485047176256184,0.6652611233265346,0.8828144284498652,0.9834274575399357,1.0
131,0.0,0.28284409893216106,0.965690158611382,0.9879887917027285,0.998301358632551,1.0
132,0.0,0.19485047176256184,0.6652611233265346,0.8828144284498652,0.9834274575399357,1.0
133,0.0,0.9962378404179854,0.99655297813998,0.997313787902435,0.9991505451493395,1.0
134,0.0,0.999630003522036,0.9999462142795147,0.9999982991461769,1.0,1.0
135,0.0,0.9213119961414246,0.9513978374132696,0.9653117957480665,0.9989030626662274,1.0
136,0.0,0.6414845089596588,0.6715155995296556,0.7440170656765965,0.9190510885404751,1.0
137,0.0,0.9673313906019477,0.998920015081831,0.9999515552615724,0.9999998468042859,1.0
138,0.0,0.7829179859307015,0.9118768462485757,0.9715171332910048,0.999099292669086,1.0
139,0.0,0.9967347907251511,0.9998967418543926,0.9999999967345874,0.9999999999998966,1.0
140,0.0,0.967375089131005,0.9989651406052341,0.9999967273840923,0.9999999998965107,1.0
141,0.0,0.999682736527423,0.9999989639658171,0.9999999671370873,0.9999999998960784,1.0
142,0.0,0.4112649187949079,0.6014647836739089,0.68942752240201,0.9017883592228731,1.0
143,0.0,0.7346593063878641,0.8556692059893847,0.9116332950750099,0.9375153037164289,1.0
144,0.0,0.9999673413155038,0.9999989640593463,0.9999999967137086,0.9999999999896078,1.0
145,0.0,0.953762530877136,0.9849080583805008,0.9993120954184359,0.9997824654709393,1.0
146,0.0,0.9945996335995397,0.9977548113497968,0.9992140031124362,0.9998888432541625,1.0
147,0.0,0.9621582938362292,0.9935779886062759,0.9987533046698913,0.9996057603208561,1.0
148,0.0,0.08076151050507567,0.2757370444841666,0.7464496229474243,0.9641425618027436,1.0
149,0.0,0.3082552232464492,0.4508156487296618,0.7949869613889126,0.9541576909391821,1.0
150,0.0,0.15888925731161324,0.5424818572286985,0.719883958255453,0.8019280473632969,1.0
151,0.0,0.07584521117157941,0.25895174862305786,0.7010100346975944,0.9054510712109684,1.0
152,0.0,0.5491426098436742,0.8031075006435505,0.9205599885817092,0.9748788626568416,1.0
153,0.0,0.5491426098436742,0.8031075006435505,0.9205599885817092,0.9748788626568416,1.0
154,0.0,0.5628810547310554,0.65559638458307,0.8794309913516987,0.9829489672767694,1.0
155,0.0,0.292216257405779,0.9976887091807184,0.999926686059117,0.9999997681609626,1.0
156,0.0,0.6444920570837486,0.942553711678821,0.9916491367064466,0.9997359225156369,1.0
157,0.0,0.07584521117157941,0.25895174862305786,0.7010100346975944,0.9054510712109684,1.0
